title,press,date,summary,url
연두색 번호판의 기습…S클래스 독주 끝? [데이터로 보는 세상],매경이코노미,2025-04-05,"고가 법인차 번호판이 연두색으로 바뀌면서 S클래스 판매량이 감소하기 시작했다. 2024년 두 차종의 격차는 급격히 줄었고, 올해 들어서는 7시리즈 판매량이 S클래스를 역전했다. S클래스의 경우 고가 법인차 번호판 변경 이후 법인차 비율이 80.2%에서 72%로 8.2%포인트 낮아졌다. 7시리즈도 79.2%에서...",https://www.mk.co.kr/article/11276278
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',뉴시스언론사 선정,2025-04-07,"수입 법인차 판매량이 급감했지만, 올해 다시 반등 조짐을 보이고 있다. 24일 한국수입자동차협회(KAIDA)에 따르면 지난달까지 법인으로 등록한 1억원 이상 수입차는 5501대로 파악됐다. 지난해 같은 기간(4394대) 대비 25%가량 증가한 수치다. 지난해 초부터 정부는 법인 차량의 사적 사용을 막기 위해...",https://www.newsis.com/view/NISX20250324_0003110599
"신차 출고도 못한 BYD, 중고차 시장 진출…법인차 매입 등 차량 판매 사업 확대할 듯",매일신문언론사 선정,2025-04-07,"상황이 이렇다 보니 당초 중국 자본이 대거 투입된 렌터카는 물론 택시, 공유차 등 법인차 대량 판매 시장에 직접 뛰어드는 것이 아닌지 우려가 나온다. BYD는 유럽은 물론 동남아 등지에서 기업 간 거래(B2B)를 통해 법인에 전기차를 대량으로 공급하는 전략을 펼쳐왔기 때문이다. 다만 국내 렌터카·택시...",https://www.imaeil.com/page/view/2025031716413868463
"""정체된 S클래스""···벤츠, 더 위 노린다",시사저널이코노미,2025-04-01,"통상적으로 BMW보다는 벤츠 법인차 비중이 높았으며 이는 S클래스와 7시리즈에서 비슷한 양상을 보인다. 카이즈유 데이터연구소에 따르면 연두색 번호판 적용 전 S클래스 법인차 비중은 80.2%였으나 정책 시행 후 72%로 약 8.2%p 떨어졌다. 7시리즈는 79.2%에서 74.9%로 4.3%p 내려갔다. 이에 대해 연구소는 ""두...",https://www.sisajournal-e.com/news/articleView.html?idxno=410659
"[초점] 트럼프 관세 칼날에···현대차 '정면 돌파', 기아 '유럽 선회'",서울파이낸스,2025-04-07,"유럽은 법인차 전기화 의무화 등 기아 전동화 전략과 맞물리는 정책을 적극 추진하고 있다. 최근 종전 협상 급물살에 따라 시장 개방 기대감을 키우고... 유럽은 전동화 가속화를 위해 연말까지 법인차 전기화를 의무화하는 입법을 추진 중이다. 유럽 신차 시장에서 법인차가 차지하는 비중은 60%에 달해, 법안...",http://www.seoulfn.com/news/articleView.html?idxno=551998
"카니발 따위가 ‘빵빵’, 폭싹 속았다…회장님 내리니 철렁, ‘성공한 아빠車’ 미니밴 [세상만車]",매일경제언론사 선정,2025-04-07,하이리무진뿐 아니라 일반 9인승 카니발도 법인차로 인기를 끌기 시작했습니다. 9인승 이상 차량을 법인 명의로 구입하면 부가세 10%를 환급받는데요... 성공하면 타는 차들이 집중 공략하는 법인차 시장에서 인기를 끌고 있습니다. 국내 출시되자마자 판매물량 500대가 모두 완판됐죠. 개인보다는 법인이 임원...,https://www.mk.co.kr/article/11268528
"‘전통의 라이벌’, 벤츠 S클래스 vs. BMW 7시리즈..과연 소비자 선택은?",데일리카,2025-04-07,"S클래스는 법인차가 80.2%, 개인차는 19.8%였지만, 법인차 번호판이 변경된 이후에는 법인차 72.0%, 개인 28.0%를 나타낸다. 7시리즈는 법인차 번호판 변경 이전엔 법인차가 79/2%, 개인이 20.8%였지만, 이후에는 법인차 74.9%, 개인 25.1% 수준이다. S클래스 구매자는 남성 74.2%, 여성 25.8%로 조사됐으며...",https://www.dailycar.co.kr/content/news.html?type=view&autoId=56312
"가사도우미 월급 내준 공익법인, 총장 자녀의 고가 승용차도 법인차",조세금융신문,2025-04-07,국세청이 공익법인 직원을 가사도우미 및 개인 토지관리로 사용한 학교법인에 대해 지난해 법인세 수천만원을 추징했다고 10일 밝혔다. 공익법인 B는 직원 甲을 채용하여 출연자의 가사일과 더불어 출연자와 특수관계인 명의 토지의 관리를 전담시켰다. 해당 토지를 관리하는 차량 주유비 역시 공익법인...,https://www.tfmedia.co.kr/news/article.html?no=180214
연두색 번호판 기피 현상 감소? 올해 들어 고급 수입차 판매 늘어,월요신문,2025-04-07,"사진=뉴시스 ［월요신문=전지환 기자］지난해부터 시행한 '연두색 번호판' 제도로 인해 한때 고급 수입 법인차 판매량이 감소했으나, 올해 다시 고급 수입 법인차 판매량이 반등 조짐을 보이고 있다. 25일 한국수입자동차협회(KAIDA)에 따르면 지난달까지 법인으로 등록한 1억원 이상 고가 수입 자동차는...",http://www.wolyo.co.kr/news/articleView.html?idxno=257386
글로벌 ESG 뉴스 브리핑,한국경제,2025-04-03,9%p 상승했다. 차량 구매자에게 직접 보조금을 지급하는 대신 법인에 세제 혜택을 부여하는 전략이 유효했다는 평가가 나온다. 기업 입장에서는 세금 혜택을 받으며 직원들에게 법인차를 제공 가능한 데다 탄소배출량을 줄일 수 있어 캐즘을 극복할 주요 정책 수단으로 주목받고 있다. 이승균 한경ESG 기자,https://www.hankyung.com/article/202503181431i
롯데렌탈 “올해 법인차 키워드는 ‘친환경’ … 하이브리드 인기 높아질 것”,뉴데일리,2025-02-06,뉴데일리 김재홍 기자 = 롯데렌탈은 기업들의 ESG 경영 트렌드를 반영해 올해 법인차 시장에서 하이브리드 모델 등 친환경차의 인기가 높아질 것으로 예측했다. 롯데렌탈은 지난해 데이터를 바탕으로 올해 법인차 키워드와 기대되는 법인차를 선정했다고 6일 밝혔다. 우선 롯데렌탈은 2025년 법인차...,https://biz.newdaily.co.kr/site/data/html/2025/02/06/2025020600044.html
"[1년전 오늘] '연두색 번호판' 시행 앞두고··· 지난해 3억이상 법인차, 전년 대비 58.4%↑",전국매일신문,2025-01-13,"2024년 1월 13일 '연두색 번호판' 시행 앞두고··· 지난해 3억이상 법인차, 전년 대비 58.4%↑​​​ 지난 2024년 1월 13일은 두가지 키워드로 정리할 수 있다. 바로 '법인차'와 '연두색 번호판'이다. 8천만 원 넘는 법인승용차 '연두색 번호판' 부착한다. [연합뉴스] ● 2018년 357대→지난해 1천858대...",https://www.jeonmae.co.kr/news/articleView.html?idxno=1110413
‘고가 수입 법인차’ 8년만 감소세 전환…연두색 번호판 영향,이투데이,2024-12-28,이투데이=강문정 기자 | 올해 1억 넘는 수입 법인차 판매 28.3% 감소 2016년 이후 8년 만에 감소세로 돌아설 듯 고가 법인차 연두색 번호판 부착 영향으로 풀이 수입차 시장 규모도 전년 대비 소폭 감소할 전망 올해 1억 원이 넘는 고가 수입 법인차 판매가 8년 만에 감소세로 돌아설 전망이다. 올해부터...,https://www.etoday.co.kr/news/view/2430964
"고저스리무진, ‘카니발 하이브리드’로 법인차 시장 맞춤형 법인 혜택 제공",라이브뉴스,2024-12-27,"고저스리무진이 카니발의 장점을 유지하면서 연비 효율을 대폭 개선한 9인승 하이브리드 모델을 선보이며 법인차 시장에 주목도가 높아진 차량의 맞춤형... 고저스리무진 관계자는 “국토교통부와 카이즈유 데이터연구소의 통계에 따르면, 2023년 1월부터 8월까지 등록된 법인차 중 카니발은 2만5098대로...",http://www.livesnews.com/news/article.html?no=46275
'법인차 출퇴근' 대전일자리경제진흥원장 감사 적발,디트뉴스24,2025-02-21,"대전일자리경제진흥원장이 출·퇴근 시 법인차를 사용하는 등 복무규정 위반으로 경고 조치를 받았다. 대전시 감사위원회는 지난 19일... 이번 감사에서 시 감사위는 진흥원 내 차량관리지침 제정 시기인 2020년 11월 이전에는 법인차량을 원장이 직접 운전해 출퇴·근했고, 이후부터는 운전원을 채용해 차량을...",http://www.dtnews24.com/news/articleView.html?idxno=786454
"억대 외제차 판매 부진… ""연두색 번호판 법인車 기피 영향""",파이낸셜뉴스,2025-01-12,"황용식 세종대 경영학부 교수는 ""(경기침체로) 경영위기가 다가오자 전체적으로 긴축경영 모드로 전환했을 가능성이 높다""며 ""임원급 직원을 많이 줄이고, 법인차도 축소했을 것""이라고 말했다. 그러면서 ""그동안 1억원 이상 수입차를 고소득자들이 많이 구매했을 텐데, 이들의 소득이 줄어들면서 미친...",http://www.fnnews.com/news/202501121815586588
고가 수입차 판매 8년 만에 감소…경기 침체와 법인차 규제 영향,뉴스로드,2025-01-29,"경기 침체와 법인차에 대한 규제 강화가 1억원이 넘는 고가 수입차의 판매 감소를 초래한 것으로 드러났다. 28일 한국수입자동차협회(KAIDA)에 따르면... 또한, 지난해부터 8000만원 이상 법인차에 연두색 번호판을 부착하게 한 조치도 고가 수입차 판매 감소에 기여한 것으로 보인다. 현대차의 고급 브랜드...",http://www.newsroad.co.kr/news/articleView.html?idxno=35175
"고저스리무진, 법인차 시장 니즈 반영한 카니발 하이브리드 모델 출시",시선뉴스,2025-01-20,"3년 무상 보증과 전국 단위 A/S 네트워크를 통해 안정적인 서비스 환경을 제공한다""고 강조했다. 아울러 ""실용성과 품질, 경제성을 겸비한 차량으로 법인 고객의 다양한 요구를 충족시키기 위해 설계됐다""며 ""앞으로도 지속적인 기술 개발과 서비스 개선을 통해 법인차 시장에서 성장해 나갈 것""이라고 밝혔다.",http://www.sisunnews.co.kr/news/articleView.html?idxno=220349
"고가 법인차, 연두색 번호판 피하려 8000만원 이하 ‘다운 계약’ 기승 부린다",세계일보언론사 선정,2024-11-11,"법인차 연두색 번호판 회피 꼼수 성행…“국토부, 전수조사 착수” 올해 초부터 법인 명의로 신규·변경 등록되는 8000만 원 이상의 고가 승용차에 적용되는 연두색 번호판 부착을 회피하려는 편법이 등장하자, 국토교통부는 이에 대응해 법인차 등록 실태 전수 조사를 시작했다. 이는 사적인 용도로...",http://www.segye.com/newsView/20241110510026?OutUrl=naver
"고저스리무진, 카니발 하이리무진 하이브리드 출시...법인 혜택 제공으로 법인차 시장 대응",뉴스컬처,2024-11-21,"사진=고저스리무진 최근 법인차 시장에서 카니발의 강세가 두드러지고 있다. 9인승 이상 차량 구매 시 부가세 10% 환급 혜택과 고속도로 버스전용차로... 실제로 카이즈유 데이터연구소의 국토교통부 통계 분석에 따르면, 올해 1월부터 8월까지 법인차 등록대수 1위는 2만5098대를 기록한 카니발이다. 이처럼 법인...",https://www.newsculture.press/news/articleView.html?idxno=557917
